"Data Toko - Kec. Serpong, Tangerang (PasMod Paramount)",,
No.,Nama Produsen,Alamat
1,CV. Dwijaya Store,"Pasar Serpong Blok C9,C10,C19,C20, Serpong, Kec. Serpong, Kota Tangerang Selatan, Banten 15310"
2,PT. Kedai Sayur Indonesiaoeng Fresh,"Jl. Prof. DR. Soepomo Raya, RT.001/RW.004, Buaran Indah, Kec. Tangerang, Kota Tangerang, Banten 15119"
3,PT.DELIMA MANDIRI PERKASA,"JL.Raya serpong No.222 B-c ( BSD )
tanggerang
Banten"
4,PT. Tridaya Bumi Agung,"Cluster Batavia Jl. Gajah Mada Blok AD.5 No 31, RT 003, 011, Pakulonan Barat, Gading Serpong, Tangerang, Banten, 15810"
5,PT. Ridho Sribumi Sejahtera,"Jl. Raya Perancis 8A Dadap Tangerang Banten, Kab. Tangerang, Banten,"
6,PT. Graha Dwi Mitra Mandiri,"Komplek Ruko dan Pergudangan Duta niaga, Kav. 9 No. 9 CN, Jurumudi Baru, Benda, Tangerang, Tangerang, Banten,"
7,PT Vegeta Bekerja Sama,"Pergudangan Aeropolis technopark G66-68 Jalan Villa Golf Barat I RT.005/RW.006 Babakan, Kec. Neglasari, Kota Tangerang, Banten 15129, Tangerang, Banten,"
8,PT Pangan Mitra Bahtera,"Ruko Buziness Link Citra Raya Blok Q 05 No. 61, Kab. Tangerang, Banten,"
9,PT Furindo Pangan Lestari,"Laksana Business Park, Jl. Raya Kali Baru, Laksana, Kab. Tangerang, Banten,"
10,UD. Tripatri Banten,"Puri Cempaka blok c5/30 kelurahan teritih kecamatan walantaka kota serang, Kab. Serang, Bante"
11,CV Indo Kartawijaya,"Duta Indah Iconic Blok C 6, Jl. MH. Thamrin No.KM.2, RT.003/RW.002, Panunggangan Utara, Kec. Pinang, Tangerang, Banten,"
12,CV. Australindo Makmur Bersama,"Green Lake City Rukan Crown C-22, Cipondoh, Tangerang, Tangerang, Banten,"
13,CV Rumah Tani Lestari,"Jalan Alam 2 Blok A No 35 Vila Ilhami Kelapa Dua, Kab. Tangerang, Banten,"
14,UD BERKAH BAHARI,"Jalan Raya Pulau Cangkir, Kronjo, Tangerang Regency, Banten, Indonesia, Kab. Tangerang, Banten,"
15,UD. Tripatri Banten,"Puri Cempaka blok c5/30 kelurahan teritih kecamatan walantaka kota serang, Kab. Serang, Banten,"